imgpath,protest,violence,sign,photo,fire,police,children,group_20,group_100,flag,night,shouting
test/test-00000.jpg,0.9972355961799622,0.3770965039730072,0.9906304478645325,0.08601361513137817,0.003896763315424323,0.010143359191715717,0.003935947548598051,0.8899145722389221,0.31157973408699036,0.029855621978640556,0.5815011858940125,0.048421937972307205
test/test-00001.jpg,0.01911112479865551,0.2913392186164856,0.9451971054077148,0.23719774186611176,0.0012660807697102427,0.0012206359533593059,0.004000587854534388,0.792232096195221,0.12992645800113678,0.4960416555404663,0.00263443635776639,0.13597352802753448
test/test-00002.jpg,0.9686116576194763,0.2528895437717438,0.9939086437225342,0.11987238377332687,0.0008255433640442789,0.005739640910178423,0.009144214913249016,0.6756370067596436,0.08122964203357697,0.029852986335754395,0.004253570921719074,0.01445641741156578
test/test-00003.jpg,0.00017939451208803803,0.11768611520528793,0.9839392900466919,0.08396374434232712,3.2163243304239586e-05,4.184680074104108e-05,0.0006048073992133141,0.08927010744810104,0.0010237391106784344,0.003627738682553172,0.004647436551749706,0.0010126063134521246
test/test-00004.jpg,0.08433715254068375,0.21857090294361115,0.8815924525260925,0.17960277199745178,0.01508287526667118,0.025391051545739174,0.010798158124089241,0.30812081694602966,0.03972027450799942,0.016507843509316444,0.06032008305191994,0.015311614610254765
test/test-00005.jpg,0.009059086441993713,0.3248983919620514,0.6948446035385132,0.01981685310602188,0.0008276432636193931,0.055570606142282486,0.003946943674236536,0.41114920377731323,0.004186231642961502,0.030243486166000366,0.0027860524132847786,0.08506107330322266
test/test-00006.jpg,0.013467622920870781,0.2551402747631073,0.7797854542732239,0.008788703940808773,0.0016354129184037447,0.007997359149158001,0.0664103552699089,0.666347861289978,0.05543184280395508,0.020478729158639908,0.0022104019299149513,0.020267033949494362
test/test-00007.jpg,0.6345126032829285,0.4093417227268219,0.8714271783828735,0.009179839864373207,0.00780189735814929,0.01699036732316017,0.00166856381110847,0.9114760160446167,0.6103008389472961,0.023386012762784958,0.9018034338951111,0.007077175658196211
test/test-00008.jpg,0.00912507250905037,0.1799415498971939,0.9578335881233215,0.25272372364997864,0.006060853134840727,0.011372925713658333,0.009455679915845394,0.15138471126556396,0.008863016031682491,0.03978395834565163,0.0008125280146487057,0.027349509298801422
test/test-00009.jpg,0.005181961692869663,0.30664148926734924,0.44642558693885803,0.3983690142631531,0.032549284398555756,0.028286037966609,0.0171153973788023,0.07510010898113251,0.006244691554456949,0.034269463270902634,0.004583620000630617,0.10511814802885056
